name	trpBA	virA	TspE4	arpA	chu	yjaA	Clermont_type
 FH57	1	0	0	1	1	0	D
 AVC218	1	0	1	0	1	1	B2
 FH172	1	0	0	0	1	0	G
 AVC228	1	0	0	0	1	0	G
 AVC227	1	0	1	0	1	1	B2
 FH95	1	0	1	0	1	1	B2
 FH49	1	0	1	1	1	0	E
 AVC21	1	0	1	0	1	1	B2
 AVC155	1	0	0	0	1	0	G
 AVC234	1	0	1	1	1	0	E
 FH108	1	0	1	0	1	1	B2
 FH169	1	0	1	1	1	0	E
 FH2	1	0	0	1	0	0	A
 FH149	1	0	1	1	0	0	B1
 AVC173	1	0	1	0	1	1	B2
 FH176	1	0	1	1	1	0	E
 AVC198	1	0	1	1	1	0	E
 FH110	1	0	1	0	1	1	B2
 FH85	1	0	0	1	0	1	A
 AVC107	1	0	0	0	1	0	G
 FH7	1	0	0	0	1	0	G
 FH158	1	0	0	0	1	0	G
 AVC223	1	0	0	0	1	0	G
 FH160	1	0	0	0	1	0	G
 FH3	1	0	0	1	0	1	A
 FH24	1	0	0	0	1	0	G
 FH100	1	0	1	0	1	1	B2
 FH26	1	0	0	0	1	0	G
 FH189	1	0	0	0	1	0	G
 FH41	1	0	1	1	1	0	E
 AVC11	1	0	1	0	1	1	B2
 FH4	1	0	0	0	1	0	G
 FH73	1	0	0	1	1	0	D
 FH122	1	0	0	1	0	0	A
 FH74	1	0	0	1	1	0	D
 FH164	1	0	1	1	0	0	B1
 FH116	1	0	0	0	1	0	G
 FH72	1	0	0	0	1	0	F
 FH6	1	0	0	1	0	1	A
 FH11	1	0	0	1	0	0	A
 FH103	1	0	1	0	1	1	B2
 AVC204	1	0	1	1	1	0	E
 FH179	1	0	0	0	1	0	G
 FH133	1	0	1	0	1	1	B2
 FH184	1	0	0	0	1	0	G
 AVC94	1	0	1	1	0	0	B1
 AVC197	1	0	1	1	1	0	E
 FH40	1	0	0	1	0	0	A
 AVC96	1	0	0	0	1	0	G
 FH42	1	0	1	1	1	0	E
 FH152	1	0	0	0	1	0	G
 FH183	1	0	0	0	1	0	G
 FH202	1	0	0	1	0	0	A
 FH198	1	0	0	0	1	0	G
 FH145	1	0	0	1	1	0	D
 FH170	1	0	1	1	1	0	E
 FH117	1	0	0	0	1	0	G
 FH81	1	0	1	0	1	1	B2
 FH43	1	0	1	1	1	0	E
 FH188	1	0	1	0	1	1	B2
 FH107	1	0	1	0	1	1	B2
 FH66	1	0	0	1	1	0	D
 FH140	1	0	0	1	1	0	D
 AVC58	1	0	0	0	1	0	G
 FH177	1	0	1	0	1	1	B2
 FH153	1	0	0	1	0	1	A
 FH79	1	0	1	0	1	1	B2
 FH147	1	0	0	1	1	0	D
 AVC167	1	0	1	1	1	0	E
 FH70	1	0	0	0	1	0	F
 FH139	1	0	0	1	1	0	D
 FH143	1	0	0	1	1	0	D
 FH105	1	0	1	0	1	1	B2
 FH208	1	0	1	1	1	0	E
 AVC226	1	0	0	1	0	0	A
 FH33	1	0	0	1	0	1	A
 FH29	1	0	0	1	1	0	D
 AVC126	1	0	1	1	1	0	E
 AVC222	1	0	0	0	1	0	G
 AVC220	1	0	0	0	1	0	G
 AVC35	1	0	1	1	0	0	B1
 AVC200	1	0	1	1	1	0	E
 FH102	1	0	1	0	1	1	B2
 FH199	1	0	0	0	1	0	G
 FH13	1	0	0	1	0	0	A
 FH131	1	0	1	1	0	0	B1
 FH205	1	0	0	0	1	0	G
 FH54	1	0	0	0	1	0	G
 FH32	1	0	1	1	1	0	E
 AVC8	1	0	1	0	1	1	B2
 FH112	1	0	1	0	1	1	B2
 AVC109	1	0	0	1	0	0	A
 AVC77	1	0	0	0	1	0	G
 FH191	1	0	0	0	1	0	G
 FH194	1	0	1	0	1	1	B2
 FH115	1	0	0	0	1	0	G
 FH90	1	0	1	0	1	1	B2
 AVC105	1	0	0	1	1	0	D
 FH118	1	0	0	1	1	0	D
 AVC39	1	0	0	1	1	0	D
 FH197	1	0	0	0	1	0	G
 AVC232	1	0	1	1	1	0	E
 FH129	0	0	0	0	0	0	U/cryptic
 FH86	1	0	0	1	1	1	cryptic
 AVC103	1	0	1	0	1	1	B2
 FH17	1	0	0	1	0	0	A
