name	Virulence	Acid	Biocide	Metal	Heat
FH83	cif,cvaC,eae,espA,espB,espF,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,nleA,nleB,nleB2,tir,tsh	ymgB	emrE		
FH132	cvaC,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,vactox,ybtP,ybtQ	ymgB	emrE		
FH203	cvaC,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,pic,sslE,vactox,ybtP,ybtQ	ymgB	emrE		
AVC123	astA	ymgB	emrE	merC,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ	
FH166	cvaC,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,pic,sslE,vactox,ybtP,ybtQ	ymgB	emrE		
AVC51	air,cvaC,eilA,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,mchF		emrE		
FH65	air,cvaC,eilA,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchF,ybtP,ybtQ	ymgB		arsD	
FH62	air,cvaC,eilA,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchF,ybtP,ybtQ	ymgB		arsD	
FH125	cvaC,espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,ybtP,ybtQ	ymgB	emrE		hsp20,kefB-GI,psi-GI,trxLHR
FH21	cvaC,eilA,espX1,fdeC,iha,iroB,iroC,iroD,iroE,iroN,iss,mchB,mchF	ymgB			
AVC60	fdeC,hlyE,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchB,mchF,papC,papE,papF,papG-II,tsh,vactox,ybtP,ybtQ	ymgB	emrE,qacEdelta1		
FH150	espX1,fdeC,iss,iucA,iucB,iucC,iucD,iutA,lpfA,ybtP,ybtQ	ymgB	emrE		
AVC148	air,cvaC,eilA,espX1,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,mchF,tsh	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
FH207	espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,papA,papC,papE,papF,papG-II,tsh	ymgB	emrE,qacEdelta1		
FH67	air,cvaC,eilA,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchF,ybtP,ybtQ	ymgB		arsD	
FH148	air,cvaC,eilA,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchF,ybtP,ybtQ	ymgB		arsD	
FH113	cvaC,fdeC,ibeA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE		
FH165	cvaC,espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,tsh	ymgB	emrE		
FH161	fdeC,hlyE,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,sslE,tsh,vactox	ymgB	emrE		
FH31	espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,tsh	ymgB	emrE	merC,merP,merR,merT	
FH28	cvaC,espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,tsh	ymgB	emrE		
AVC61	cvaC,fdeC,ibeA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
FH101	astA,cvaC,fdeC,ibeA,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,tsh,ybtP,ybtQ	ymgB	emrE		
FH36	cvaC,espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,tsh	ymgB	emrE		
FH206	espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,papA,papC,papE,papF,papG-II,tsh	ymgB	emrE,qacEdelta1		
FH59	air,cvaC,eilA,espX1,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,mchF,tsh	ymgB	emrE		
FH46	cvaC,espX1,fdeC,iroB,iroC,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,mchF,sfaF	ymgB	emrE	merC,merP,merR,merT	
FH9	espX1,etpD,fdeC,iss,lpfA	ymgB	emrE		
FH146	air,cvaC,eilA,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchF,ybtP,ybtQ	ymgB		arsD	
FH127	cvaC,fdeC,ibeA,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE		
FH111	cvaC,fdeC,ibeA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE		
FH204	cvaC,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,pic,sslE,vactox,ybtP,ybtQ	ymgB	emrE		
FH123	air,capU,cvaC,eilA,espX1,fdeC,iroB,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,tsh,ybtP	ymgB	emrE	arsD	
FH38	astA,cvaC,fdeC,ibeA,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE		
FH174	fdeC,hlyE,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,sslE,tsh,vactox	ymgB	emrE		
FH209	espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,papA,papC,papE,papF,papG-II,tsh	ymgB	emrE,qacEdelta1		
AVC216	air,cvaC,eilA,espX1,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,sslE	ymgB	emrE,qacEdelta1	arsA,arsD,arsR	
FH30	air,cvaC,eilA,espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchF,ybtP,ybtQ	ymgB	emrE	arsD	
FH109	astA,cvaC,fdeC,ibeA,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE		
AVC242	cvaC,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,vactox,ybtP,ybtQ	ymgB	emrE		
FH210	cvaC,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchF	ymgB			
FH98	astA,cvaC,fdeC,ibeA,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE		
AVC29	cvaC,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchB,mchF,papA,papC,papE,papF,papG-II,pic,sslE,vactox,ybtP,ybtQ	ymgB	emrE	merC,merP,merR,merT	
AVC106	air,astA,eilA,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,tsh	ymgB	emrE	arsD	
AVC179	astA,eilA,espX1,fdeC,iha,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,tsh	ymgB	emrE,qacEdelta1		
FH76	air,cvaC,eilA,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchF,ybtP,ybtQ	ymgB		arsD	
AVC65	cvaC,eilA,espX1,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,sslE	ymgB	emrE,qacEdelta1	arsA,arsD,arsR	
FH192	fdeC,ireA,iss,iucA,iucB,iucC,iucD,iutA,lpfA,pic,sslE,vactox,ybtP,ybtQ	ymgB	emrE		
FH156	fdeC,hlyE,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,sslE,tsh,vactox	ymgB	emrE		
